date;value
28/08/2022;27.5876
29/08/2022;28.8821
30/08/2022;29.5726
31/08/2022;29.4014
01/09/2022;34.187
02/09/2022;33.8461
03/09/2022;32.5072
04/09/2022;31.4709
05/09/2022;32.3165
06/09/2022;33.3332
07/09/2022;34.4123
08/09/2022;34.236
09/09/2022;34.0304
10/09/2022;32.1992
11/09/2022;30.9428
12/09/2022;32.8203
13/09/2022;33.034
14/09/2022;32.4339
15/09/2022;32.2802
16/09/2022;31.0705
17/09/2022;30.0113
18/09/2022;29.6427
19/09/2022;31.0949
20/09/2022;32.2945
21/09/2022;32.3485
22/09/2022;31.797
23/09/2022;31.5751
24/09/2022;30.3858
25/09/2022;29.5652
26/09/2022;31.1985
27/09/2022;31.8352
28/09/2022;31.7786
29/09/2022;31.3549
30/09/2022;30.903
01/10/2022;29.5177
02/10/2022;28.7139
03/10/2022;30.7396
04/10/2022;30.9501
05/10/2022;31.2621
06/10/2022;31.5478
07/10/2022;31.4918
08/10/2022;30.6092
09/10/2022;29.3418
10/10/2022;30.4839
11/10/2022;31.7878
12/10/2022;31.584
13/10/2022;32.2627
14/10/2022;31.6255
15/10/2022;30.266
16/10/2022;29.1214
17/10/2022;30.3875
18/10/2022;31.0809
19/10/2022;30.8327
20/10/2022;30.1891
21/10/2022;30.8379
22/10/2022;29.6178
23/10/2022;28.4961
24/10/2022;29.3502
25/10/2022;30.0736
26/10/2022;30.4535
27/10/2022;30.3993
28/10/2022;30.0229
29/10/2022;29.8726
30/10/2022;29.175
31/10/2022;30.446
01/11/2022;29.8833
02/11/2022;30.0894
03/11/2022;30.425
04/11/2022;30.6562
05/11/2022;29.6451
06/11/2022;28.4741
07/11/2022;30.2706
08/11/2022;31.0873
09/11/2022;30.3883
10/11/2022;30.7167
11/11/2022;30.8284
12/11/2022;29.9583
13/11/2022;29.8158
14/11/2022;31.1138
15/11/2022;32.2884
16/11/2022;32.2538
17/11/2022;31.6444
18/11/2022;31.6526
19/11/2022;31.2912
20/11/2022;30.4193
21/11/2022;31.3347
22/11/2022;32.2342
23/11/2022;32.144
24/11/2022;31.7721
25/11/2022;31.4015
26/11/2022;30.4906
27/11/2022;29.8491
28/11/2022;31.961
29/11/2022;32.6985
30/11/2022;33.1304
01/12/2022;31.1961
02/12/2022;30.7044
03/12/2022;29.608
04/12/2022;28.963
05/12/2022;30.4571
06/12/2022;31.3098
07/12/2022;31.1831
08/12/2022;31.0391
09/12/2022;30.783
10/12/2022;30.412
11/12/2022;30.2389
12/12/2022;30.722
13/12/2022;31.3274
14/12/2022;31.2122
15/12/2022;31.6747
16/12/2022;31.272
17/12/2022;30.0467
18/12/2022;29.633
19/12/2022;30.8805
20/12/2022;31.3026
21/12/2022;31.5948
22/12/2022;31.4424
23/12/2022;31.0623
24/12/2022;30.6552
25/12/2022;30.0646
26/12/2022;30.1338
27/12/2022;30.4798
28/12/2022;30.0238
29/12/2022;29.7368
30/12/2022;29.4645
